iter	Passed	Remaining
0	1	106
1	2	99
2	2	95
3	3	84
4	4	87
5	5	87
6	6	88
7	7	87
8	8	84
9	9	84
10	10	83
11	11	82
12	12	80
13	12	78
14	13	76
15	14	74
16	14	72
17	15	71
18	16	70
19	17	69
20	17	67
21	18	66
22	19	65
23	20	64
24	21	64
25	22	63
26	23	62
27	23	61
28	24	60
29	25	59
30	26	58
31	27	57
32	27	56
33	28	55
34	29	54
35	30	53
36	31	52
37	31	51
38	32	50
39	33	50
40	34	49
41	35	48
42	36	47
43	36	46
44	37	45
45	38	45
46	39	44
47	40	43
48	41	42
49	41	41
50	42	40
51	43	40
52	44	39
53	45	38
54	46	37
55	46	36
56	47	36
57	48	35
58	49	34
59	50	33
60	51	32
61	52	32
62	53	31
63	54	30
64	55	29
65	56	28
66	56	28
67	57	27
68	58	26
69	59	25
70	60	24
71	61	23
72	62	22
73	63	22
74	63	21
75	64	20
76	66	19
77	67	18
78	67	18
79	68	17
80	69	16
81	70	15
82	71	14
83	72	13
84	73	12
85	74	12
86	74	11
87	75	10
88	76	9
89	77	8
90	78	7
91	80	6
92	81	6
93	82	5
94	82	4
95	84	3
96	84	2
97	85	1
98	86	0
99	87	0
